universalid,title,authorinfo,genre,notes
lt9500w008,M. Aemilii cos. a. 179 tabula,<author>Anonymi Epici et Lyrici</author>. M. Aemilii cos. a. 179 tabula .,Poem.,
lt9500w009,versiculi populares et pueriles,<author>Anonymi Epici et Lyrici</author>. versiculi populares et pueriles .</work> 1927).,Poem.,
lt9500w010,praecepta rustica et medica,<author>Anonymi Epici et Lyrici</author>. praecepta rustica et medica .,Poem.,
lt9500w013,Ardeatis templi inscriptio,<author>Anonymi Epici et Lyrici</author>. Ardeatis templi inscriptio .,Poem.,
lt9500w014,templi Tarracinensis inscriptio,<author>Anonymi Epici et Lyrici</author>. templi Tarracinensis inscriptio .,Poem.,
lt9500w015,in Carbonem versus popularis,<author>Anonymi Epici et Lyrici</author>. in Carbonem versus popularis .,Poem.,
lt9500w016,carmina Marciana et similia,<author>Anonymi Epici et Lyrici</author>. carmina Marciana et similia .,Poem.,
lt9500w017,versus populares in Caesarem et similia,<author>Anonymi Epici et Lyrici</author>. versus populares in Caesarem et similia .,Poem.,
lt9500w019,obtrectatoris Vergilii versiculus,<author>Anonymi Epici et Lyrici</author>. obtrectatoris Vergilii versiculus .,Poem.,
lt9500w020,de Crassitio epigramma,<author>Anonymi Epici et Lyrici</author>. de Crassitio epigramma .,Poem.,
lt9500w021,populares versus in Sarmentum,<author>Anonymi Epici et Lyrici</author>. populares versus in Sarmentum .,Poem.,
lt9500w022,versus populares in Tiberium et Germanicum,<author>Anonymi Epici et Lyrici</author>. versus populares in Tiberium et Germanicum .,Poem.,
lt9500w023,populares versus in Caligulam,<author>Anonymi Epici et Lyrici</author>. populares versus in Caligulam .,Poem.,
lt9500w024,artificia metrica,<author>Anonymi Epici et Lyrici</author>. artificia metrica .,Poem.,
lt9500w025,versus populares in Neronem et eiusque successores,<author>Anonymi Epici et Lyrici</author>. versus populares in Neronem et eiusque successores .,Poem.,
lt9500w026,versus Hor. Sat. I 10 praemissi,<author>Anonymi Epici et Lyrici</author>. versus Hor. Sat. I 10 praemissi .,Poem.,
lt9500w027,versus de VII sapientibus,<author>Anonymi Epici et Lyrici</author>. versus de VII sapientibus .,Poem.,
lt9500w028,odarium,<author>Anonymi Epici et Lyrici</author>. odarium .,Poem.,
lt9500w029,versus fortasse Clementis(?),<author>Anonymi Epici et Lyrici</author>. versus fortasse Clementis .,Poem.,
lt9500w030,versus in Caesares Romanos ex Historia Augusta,<author>Anonymi Epici et Lyrici</author>. versus in Caesares Romanos ex Historia Augusta .,Poem.,
lt9500w031,versus Orphici ab Arnobio conversi,<author>Anonymi Epici et Lyrici</author>. versus Orphici ab Arnobio conversi .,Poem.,
